ID\Lat	Lon		boatSpeed	boatDir	TWD	TWA	TWS	AWA	AWS	Time	Stress	Activity	Maneuver (nb=19)
9	46.39083/-5.19969	6.88	316.68	283.63	-33.05	28.18	-26.75	34.15	23h55m05s	995.79	Upwind Port	
8	46.24100/-4.59432	7.45	315.72	273.68	-42.04	30.41	-34.14	36.29	20h55m21s	559.67	Upwind Port	
7	46.08120/-4.36888	8.25	314.47	259.50	-54.97	28.59	-43.52	34.00	17h55m36s	56.06	Upwind Port	
6	45.50824/-4.11532	9.35	316.73	243.96	-72.77	27.57	-56.37	31.63	14h55m59s	34.63	Upwind Port	
5	45.30448/-3.44077	9.44	313.19	231.05	-82.14	20.23	-58.65	23.46	11h56m22s	30.83	Upwind Port	
4	45.11061/-3.14689	9.00	305.21	212.92	-92.29	14.54	-59.92	16.79	08h56m22s	28.72	Upwind Port	
3	44.55493/-2.43455	9.64	300.27	201.16	-99.11	16.65	-66.92	17.88	05h56m22s	17.05	Reaching Port	
2	44.40910/-2.08240	9.29	295.32	198.30	-97.02	15.30	-63.97	16.90	02h56m22s	12.13	Reaching Port	
1	44.35191/-1.51255	8.66	285.47	194.90	-90.57	12.99	-56.69	15.54	01h29m59s	0.00	Upwind Port	
0	44.31725/-1.33679	0.00	00s

ID\Lat	Lon		boatSpeed	boatDir	TWD	TWA	TWS	AWA	AWS	Time	Stress	Activity	Maneuver (nb=19)
18	47.54304/-6.40641	6.51	324.71	287.36	-37.35	12.50	-24.76	18.11	01j13h35m07s	1258.24	Upwind Port	
17	47.45782/-6.31655	6.66	324.71	288.71	-35.99	15.41	-25.34	21.16	01j11h58m51s	0.00	Upwind Port	
16	47.29478/-6.14531	6.97	324.71	286.57	-38.14	18.39	-27.92	24.26	01j08h58m51s	0.00	Upwind Port	
15	47.12421/-5.56711	7.04	325.78	286.57	-39.21	18.39	-28.64	24.26	01j05h58m51s	1089.10	Upwind Port	
14	47.12395/-5.56686	6.97	323.03	286.67	-36.36	21.55	-27.72	27.47	01j05h58m51s	1087.56	Upwind Port	
13	46.55699/-5.38236	6.93	323.03	288.85	-34.18	24.94	-26.94	30.92	01j02h58m51s	862.14	Upwind Port	
12	46.39083/-5.19969	6.87	316.68	283.77	-32.91	28.13	-26.63	34.10	23h58m51s	534.00	Upwind Port	
11	46.24100/-4.59432	7.40	324.71	283.39	-41.32	28.21	-33.09	34.12	20h58m51s	100.49	Upwind Port	
10	46.23422/-4.58737	8.02	324.74	273.62	-51.12	30.36	-41.11	35.94	20h52m07s	71.28	Upwind Port	
9	46.03766/-4.38646	7.99	310.16	259.53	-50.64	28.54	-40.22	34.18	17h52m07s	69.79	Upwind Port	
8	45.48452/-4.12557	8.73	306.56	243.42	-63.14	27.43	-49.20	32.33	14h53m55s	54.82	Upwind Port	
7	45.33043/-3.42814	9.97	317.91	236.98	-80.93	25.09	-60.66	28.42	11h56m04s	35.72	Reaching Port	
6	45.21955/-3.28535	9.74	318.19	231.03	-87.16	20.22	-61.98	22.88	10h26m09s	33.53	Reaching Port	
5	45.11061/-3.14689	9.00	305.21	212.90	-92.30	14.54	-59.92	16.79	08h56m09s	30.11	Upwind Port	
4	44.55493/-2.43455	9.64	300.27	201.16	-99.11	16.65	-66.93	17.87	05h56m09s	18.43	Reaching Port	
3	44.40910/-2.08240	9.57	300.11	199.67	-100.43	16.17	-67.34	17.23	02h56m09s	17.74	Reaching Port	
2	44.37472/-1.59905	9.12	290.32	198.30	-92.02	15.30	-60.70	17.54	02h13m10s	6.67	Reaching Port	
1	44.35191/-1.51255	8.66	285.47	194.90	-90.57	12.99	-56.69	15.54	01h29m59s	0.00	Upwind Port	
0	44.31725/-1.33679	0.00	00s

ID\Lat	Lon		boatSpeed	boatDir	TWD	TWA	TWS	AWA	AWS	Time	Stress	Activity	Maneuver (nb=19)
18	47.54304/-6.40641	6.51	324.70	287.37	-37.34	12.51	-24.75	18.11	01j13h34m58s	1259.05	Upwind Port	
17	47.45784/-6.31655	6.66	324.71	288.71	-36.00	15.42	-25.34	21.17	01j11h58m42s	0.00	Upwind Port	
16	47.29479/-6.14531	6.97	324.71	286.57	-38.14	18.40	-27.93	24.26	01j08h58m42s	0.00	Upwind Port	
15	47.12421/-5.56711	7.05	325.99	286.57	-39.43	18.40	-28.79	24.26	01j05h58m42s	1089.52	Upwind Port	
14	47.12395/-5.56686	6.97	323.03	286.67	-36.36	21.55	-27.72	27.47	01j05h58m42s	1087.73	Upwind Port	
13	46.55699/-5.38236	6.93	323.03	288.86	-34.17	24.94	-26.94	30.92	01j02h58m42s	862.24	Upwind Port	
12	46.39083/-5.19969	6.87	316.68	283.76	-32.92	28.13	-26.63	34.10	23h58m42s	534.03	Upwind Port	
11	46.24100/-4.59432	7.40	324.67	283.38	-41.29	28.21	-33.06	34.13	20h58m42s	100.52	Upwind Port	
10	46.23423/-4.58737	8.02	324.74	273.61	-51.12	30.36	-41.11	35.94	20h51m58s	71.26	Upwind Port	
9	46.03766/-4.38646	7.99	310.16	259.52	-50.65	28.54	-40.23	34.18	17h51m58s	69.78	Upwind Port	
8	45.48452/-4.12557	8.49	310.70	251.47	-59.23	27.75	-46.42	32.91	14h53m47s	59.45	Upwind Port	
7	45.40369/-3.59092	9.41	310.70	236.98	-73.72	25.09	-55.67	29.16	13h26m09s	44.04	Upwind Port	
6	45.21955/-3.28535	9.74	318.19	231.03	-87.16	20.22	-61.98	22.88	10h26m09s	33.53	Reaching Port	
5	45.11061/-3.14689	9.00	305.21	212.90	-92.30	14.54	-59.92	16.79	08h56m09s	30.11	Upwind Port	
4	44.55493/-2.43455	9.64	300.27	201.16	-99.11	16.65	-66.93	17.87	05h56m09s	18.43	Reaching Port	
3	44.40910/-2.08240	9.57	300.11	199.67	-100.43	16.17	-67.34	17.23	02h56m09s	17.74	Reaching Port	
2	44.37472/-1.59905	9.12	290.32	198.30	-92.02	15.30	-60.70	17.54	02h13m10s	6.67	Reaching Port	
1	44.35191/-1.51255	8.66	285.47	194.90	-90.57	12.99	-56.69	15.54	01h29m59s	0.00	Upwind Port	
0	44.31725/-1.33679	0.00	00s

ID\Lat	Lon		boatSpeed	boatDir	TWD	TWA	TWS	AWA	AWS	Time	Stress	Activity	Maneuver (nb=18)
17	47.54304/-6.40641	6.51	324.70	287.32	-37.38	12.48	-24.76	18.08	01j13h37m21s	1254.23	Upwind Port	
16	47.45767/-6.31637	6.66	324.71	288.73	-35.98	15.38	-25.32	21.13	01j12h00m54s	0.00	Upwind Port	
15	47.29472/-6.14524	6.96	324.71	286.59	-38.12	18.36	-27.90	24.23	01j09h00m54s	0.00	Upwind Port	
14	47.12421/-5.56711	6.81	322.51	286.59	-35.92	18.36	-26.42	24.21	01j06h00m54s	1085.86	Upwind Port	
13	47.12401/-5.56689	6.97	323.03	286.63	-36.40	21.52	-27.73	27.44	01j06h00m54s	1083.68	Upwind Port	
12	46.55701/-5.38236	6.93	323.03	288.81	-34.22	24.90	-26.97	30.88	01j03h00m54s	859.30	Upwind Port	
11	46.39083/-5.19969	6.86	316.68	283.85	-32.83	28.10	-26.56	34.07	01j00h00m54s	532.11	Upwind Port	
10	46.24100/-4.59432	7.40	324.70	283.46	-41.24	28.18	-33.01	34.10	21h00m54s	99.23	Upwind Port	
9	46.23411/-4.58726	8.02	324.74	273.69	-51.05	30.33	-41.05	35.92	20h54m04s	69.77	Upwind Port	
8	46.03766/-4.38646	7.99	310.16	259.67	-50.49	28.57	-40.12	34.21	17h54m04s	68.22	Upwind Port	
7	45.48452/-4.12557	8.48	310.70	251.61	-59.09	27.76	-46.32	32.93	14h55m40s	57.87	Upwind Port	
6	45.40358/-3.59073	9.41	310.70	237.06	-73.64	25.16	-55.65	29.23	13h27m49s	42.33	Upwind Port	
5	45.21955/-3.28535	9.75	318.19	231.14	-87.05	20.28	-61.95	22.95	10h27m49s	31.83	Reaching Port	
4	45.11061/-3.14689	9.00	305.21	213.01	-92.19	14.57	-59.89	16.83	08h57m51s	28.39	Upwind Port	
3	44.55493/-2.43455	9.64	300.27	201.20	-99.07	16.66	-66.90	17.89	05h57m51s	16.69	Reaching Port	
2	44.40910/-2.08240	9.57	300.11	199.71	-100.39	16.18	-67.33	17.25	02h57m51s	15.99	Reaching Port	
1	44.37472/-1.59905	8.69	287.10	194.90	-92.20	12.99	-57.73	15.35	02h14m53s	0.00	Upwind Port	
0	44.31725/-1.33679	0.00	00s

ID\Lat	Lon		boatSpeed	boatDir	TWD	TWA	TWS	AWA	AWS	Time	Stress	Activity	Maneuver (nb=18)
17	47.54304/-6.40641	6.51	324.70	287.32	-37.38	12.48	-24.76	18.08	01j13h37m21s	1255.04	Upwind Port	
16	47.45767/-6.31637	6.66	324.71	288.73	-35.98	15.38	-25.32	21.13	01j12h00m54s	0.00	Upwind Port	
15	47.29472/-6.14524	6.96	324.71	286.59	-38.12	18.36	-27.90	24.23	01j09h00m54s	0.00	Upwind Port	
14	47.12421/-5.56711	6.83	322.80	286.59	-36.21	18.36	-26.62	24.22	01j06h00m54s	1086.98	Upwind Port	
13	47.12401/-5.56689	6.97	323.03	286.63	-36.40	21.52	-27.73	27.44	01j06h00m54s	1085.12	Upwind Port	
12	46.55701/-5.38236	6.93	323.03	288.81	-34.22	24.90	-26.97	30.88	01j03h00m54s	860.74	Upwind Port	
11	46.39083/-5.19969	6.86	316.68	283.85	-32.83	28.10	-26.56	34.07	01j00h00m54s	533.56	Upwind Port	
10	46.24100/-4.59432	7.40	324.70	283.46	-41.24	28.18	-33.01	34.10	21h00m54s	100.67	Upwind Port	
9	46.23411/-4.58726	8.02	324.74	273.69	-51.05	30.33	-41.05	35.92	20h54m03s	71.21	Upwind Port	
8	46.03766/-4.38646	7.99	310.16	259.67	-50.49	28.57	-40.12	34.21	17h54m03s	69.66	Upwind Port	
7	45.48452/-4.12557	8.48	310.70	251.61	-59.09	27.76	-46.32	32.93	14h55m39s	59.32	Upwind Port	
6	45.40358/-3.59073	9.41	310.70	237.06	-73.64	25.16	-55.65	29.23	13h27m49s	43.77	Upwind Port	
5	45.21955/-3.28535	9.75	318.19	231.14	-87.05	20.28	-61.95	22.95	10h27m49s	33.27	Reaching Port	
4	45.11061/-3.14689	9.00	305.21	213.01	-92.19	14.57	-59.89	16.83	08h57m51s	29.83	Upwind Port	
3	44.55493/-2.43455	9.70	301.42	201.18	-100.24	16.72	-67.76	17.78	05h57m51s	16.71	Reaching Port	
2	44.40328/-2.08470	9.40	295.11	199.71	-95.40	16.18	-63.95	17.93	02h57m51s	10.36	Reaching Port	
1	44.37472/-1.59905	8.69	287.10	194.90	-92.20	12.99	-57.73	15.35	02h14m53s	0.00	Upwind Port	
0	44.31725/-1.33679	0.00	00s

ID\Lat	Lon		boatSpeed	boatDir	TWD	TWA	TWS	AWA	AWS	Time	Stress	Activity	Maneuver (nb=17)
16	47.54304/-6.40641	6.51	324.71	287.31	-37.41	12.47	-24.77	18.08	01j13h37m55s	1252.39	Upwind Port	
15	47.45763/-6.31637	6.65	324.71	288.73	-35.98	15.37	-25.31	21.12	01j12h01m27s	0.00	Upwind Port	
14	47.29470/-6.14524	6.96	324.71	286.60	-38.11	18.35	-27.89	24.22	01j09h01m27s	0.00	Upwind Port	
13	47.12421/-5.56711	6.62	320.38	286.59	-33.78	18.36	-25.01	24.14	01j06h01m27s	1082.22	Upwind Port	
12	47.12403/-5.56689	6.97	323.04	286.62	-36.41	21.51	-27.74	27.43	01j06h01m27s	1077.67	Upwind Port	
11	46.55701/-5.38236	6.93	323.04	288.80	-34.23	24.89	-26.98	30.87	01j03h01m27s	853.57	Upwind Port	
10	46.39083/-5.19969	6.86	316.68	283.87	-32.81	28.09	-26.54	34.06	01j00h01m27s	526.64	Upwind Port	
9	46.24100/-4.59432	7.40	324.67	283.48	-41.19	28.17	-32.97	34.09	21h01m27s	93.96	Upwind Port	
8	46.23409/-4.58722	8.02	324.74	273.70	-51.03	30.32	-41.03	35.91	20h54m34s	64.39	Upwind Port	
7	46.03766/-4.38646	7.98	310.16	259.71	-50.46	28.58	-40.09	34.22	17h54m34s	62.82	Upwind Port	
6	45.48452/-4.12557	9.07	312.67	244.13	-68.54	27.59	-53.27	32.04	14h56m07s	40.86	Upwind Port	
5	45.30191/-3.44216	9.41	312.67	231.14	-81.53	20.28	-58.29	23.58	11h57m51s	32.49	Upwind Port	
4	45.11061/-3.14689	9.00	305.21	213.01	-92.19	14.57	-59.89	16.83	08h57m51s	29.83	Upwind Port	
3	44.55493/-2.43455	9.70	301.42	201.18	-100.24	16.72	-67.76	17.78	05h57m51s	16.71	Reaching Port	
2	44.40328/-2.08470	9.40	295.11	199.71	-95.40	16.18	-63.95	17.93	02h57m51s	10.36	Reaching Port	
1	44.37472/-1.59905	8.69	287.10	194.90	-92.20	12.99	-57.73	15.35	02h14m53s	0.00	Upwind Port	
0	44.31725/-1.33679	0.00	00s

ID\Lat	Lon		boatSpeed	boatDir	TWD	TWA	TWS	AWA	AWS	Time	Stress	Activity	Maneuver (nb=16)
15	47.54304/-6.40641	6.45	323.95	287.32	-36.63	12.47	-24.32	18.06	01j13h39m05s	1244.93	Upwind Port	
14	47.45815/-6.31436	6.59	323.96	288.75	-35.21	15.37	-24.84	21.10	01j12h01m27s	1244.06	Upwind Port	
13	47.29837/-6.14187	6.91	323.96	286.61	-37.35	18.36	-27.38	24.21	01j09h01m27s	1206.88	Upwind Port	
12	47.13074/-5.56184	7.03	323.97	286.66	-37.31	21.51	-28.37	27.44	01j06h01m27s	1078.80	Upwind Port	
11	46.56022/-5.37969	6.98	323.96	288.80	-35.16	24.89	-27.68	30.87	01j03h01m27s	854.51	Upwind Port	
10	46.39083/-5.19969	6.86	316.68	283.87	-32.81	28.09	-26.54	34.06	01j00h01m27s	526.64	Upwind Port	
9	46.24100/-4.59432	7.40	324.67	283.48	-41.19	28.17	-32.97	34.09	21h01m27s	93.96	Upwind Port	
8	46.23409/-4.58722	8.02	324.74	273.70	-51.03	30.32	-41.03	35.91	20h54m34s	64.39	Upwind Port	
7	46.03766/-4.38646	7.98	310.16	259.71	-50.46	28.58	-40.09	34.22	17h54m34s	62.82	Upwind Port	
6	45.48452/-4.12557	9.07	312.67	244.13	-68.54	27.59	-53.27	32.04	14h56m07s	40.86	Upwind Port	
5	45.30191/-3.44216	9.41	312.67	231.14	-81.53	20.28	-58.29	23.58	11h57m51s	32.49	Upwind Port	
4	45.11061/-3.14689	9.00	305.21	213.01	-92.19	14.57	-59.89	16.83	08h57m51s	29.83	Upwind Port	
3	44.55493/-2.43455	9.70	301.42	201.18	-100.24	16.72	-67.76	17.78	05h57m51s	16.71	Reaching Port	
2	44.40328/-2.08470	9.40	295.11	199.71	-95.40	16.18	-63.95	17.93	02h57m51s	10.36	Reaching Port	
1	44.37472/-1.59905	8.69	287.10	194.90	-92.20	12.99	-57.73	15.35	02h14m53s	0.00	Upwind Port	
0	44.31725/-1.33679	0.00	00s

ID\Lat	Lon		boatSpeed	boatDir	TWD	TWA	TWS	AWA	AWS	Time	Stress	Activity	Maneuver (nb=17)
16	47.54304/-6.40641	6.35	322.66	287.35	-35.31	12.47	-23.57	18.03	01j13h39m28s	1241.57	Upwind Port	
15	47.46031/-6.31238	6.47	322.66	288.78	-33.88	15.38	-24.02	21.06	01j12h01m05s	1240.83	Upwind Port	
14	47.30602/-6.13770	6.82	322.66	286.65	-36.00	18.36	-26.47	24.21	01j09h01m05s	1204.98	Upwind Port	
